"e472e","e472e"
"472e","472e"
"diacetyl","diacetyl"
"e472f","e472f"
"472f","472f"
"mixed","mixed"
"e472g","e472g"
"472g","472g"
"succinylated","succinylated"
"monoglycerides","monoglycerides"
"e473","e473"
"473","473"
"e474","e474"
"474","474"
"sucroglycerides","sucroglycerides"
"e475","e475"
"475","475"
"polyglycerol","polyglycerol"
"e476","e476"
"476","476"
"polyricinoleate","polyricinoleate"
"e477","e477"
"477","477"
"e478","e478"
"478","478"
"lactylated","lactylated"
"e479","e479"
"e479b","e479b"
"479","479"
"479b","479b"
"thermally","thermally"
"oxidized","oxidized"
"soya","soya"
"interacted","interacted"
"with","with"
"e480","e480"
"480","480"
"dioctyl","dioctyl"
"sulphosuccinate","sulphosuccinate"
"e481","e481"
"481","481"
"stearoyl","stearoyl"
"lactylate","lactylate"
"e482","e482"
"482","482"
"e483","e483"
"483","483"
"stearyl","stearyl"
"e484","e484"
"484","484"
"e485","e485"
"485","485"
"e486","e486"
"486","486"
"e487","e487"
"487","487"
"laurylsulphate","laurylsulphate"
"e488","e488"
"488","488"
"ethoxylated","ethoxylated"
"di","di"
"glycerides","glycerides"
"e489","e489"
"489","489"
"glucoside","glucoside"
"coconut","coconut"
"e490","e490"
"490","490"
"e491","e491"
"491","491"
"e492","e492"
"492","492"
"e493","e493"
"493","493"
"e494","e494"
"494","494"
"e495","e495"
"495","495"
"e496","e496"
"496","496"
"trioleate","trioleate"
"e497","e497"
"497","497"
"polyoxypropylene","polyoxypropylene"
"polyoxyethylene","polyoxyethylene"
"polymers","polymers"
"e498","e498"
"498","498"
"partial","partial"
"polycondensed","polycondensed"
"castor","castor"
"e500","e500"
"500","500"
"carbonates","carbonates"
"bicarbonate","bicarbonate"
"sesquicarbonate","sesquicarbonate"
"raising","raising"
"e501","e501"
"501","501"
"e503","e503"
"503","503"
"e504","e504"
"504","504"
"e505","e505"
"505","505"
"ferrous","ferrous"
"e507","e507"
"507","507"
"hydrochloric","hydrochloric"
"e508","e508"
"508","508"
"chloride","chloride"
"seasoning","seasoning"
"e509","e509"
"509","509"
"e510","e510"
"510","510"
"solution","solution"
"improving","improving"
"e511","e511"
"511","511"
"e512","e512"
"512","512"
"stannous","stannous"
